,,,,,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals
Rk,Season,Column2,Tm,Column1,Lg,G,W,L,State,Team,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
87,2012-13,2013,HOU*,2012TXAstros,NBA,82,45,37,TX,Astros,0.549,19780,3124,6782,2257,4413,867,2369,1573,2087,909,2652,3561,1902,679,359,1348,1662,8688
118,2012-13,2013,DAL,2012TXMavericks,NBA,82,41,41,TX,Mavericks,0.5,19980,3182,6892,2576,5264,606,1628,1323,1669,767,2670,3437,1906,648,454,1144,1698,8293
16,2012-13,2013,SAS*,2012TXSpurs,NBA,82,58,24,TX,Spurs,0.707,19880,3210,6675,2547,4911,663,1764,1365,1725,666,2721,3387,2058,695,446,1206,1427,8448
101,2012-13,2013,UTA,2012UTJazz,NBA,82,43,39,UT,Jazz,0.524,19880,3046,6710,2539,5325,507,1385,1439,1883,989,2457,3446,1859,690,515,1210,1750,8038
184,2012-13,2013,WAS,2012WAWizards,NBA,82,29,53,WA,Wizards,0.354,19855,2910,6693,2365,5198,545,1495,1279,1746,887,2652,3539,1775,598,376,1238,1681,7644
137,2012-13,2013,MIL*,2012WIBucks,NBA,82,38,44,WI,Bucks,0.463,19830,3128,7197,2527,5527,601,1670,1251,1700,1068,2537,3605,1876,685,550,1156,1554,8108
66,2013-14,2014,PHO,2013AZSuns,NBA,82,48,34,AZ,Suns,0.585,19755,3172,6845,2407,4790,765,2055,1520,2004,928,2601,3529,1563,688,374,1258,1798,8629
21,2013-14,2014,LAC*,2013CAClippers,NBA,82,57,25,CA,Clippers,0.695,19755,3208,6761,2515,4795,693,1966,1741,2384,858,2668,3526,2016,703,397,1136,1767,8850
192,2013-14,2014,SAC,2013CAKings,NBA,82,28,54,CA,Kings,0.341,19830,3026,6766,2535,5291,491,1475,1698,2237,990,2656,3646,1547,587,318,1249,1849,8241
196,2013-14,2014,LAL,2013CALakers,NBA,82,27,55,CA,Lakers,0.329,19705,3139,6980,2365,4948,774,2032,1390,1835,745,2620,3365,2006,611,446,1239,1627,8442
45,2013-14,2014,GSW*,2013CAWarriors,NBA,82,51,31,CA,Warriors,0.622,19830,3236,7005,2462,4968,774,2037,1303,1731,896,2819,3715,1912,642,407,1247,1784,8549
151,2013-14,2014,DEN,2013CONuggets,NBA,82,36,46,CO,Nuggets,0.439,19755,3147,7042,2445,5083,702,1959,1563,2154,1009,2717,3726,1838,615,459,1305,1890,8559
38,2013-14,2014,MIA*,2013FLHeat,NBA,82,54,28,FL,Heat,0.659,19880,3142,6272,2477,4443,665,1829,1431,1884,627,2397,3024,1847,732,367,1212,1596,8380
214,2013-14,2014,ORL,2013FLMagic,NBA,82,23,59,FL,Magic,0.28,19955,3022,6784,2459,5188,563,1596,1307,1714,794,2654,3448,1726,630,350,1222,1678,7914
138,2013-14,2014,ATL*,2013GAHawks,NBA,82,38,44,GA,Hawks,0.463,19830,3061,6688,2293,4572,768,2116,1392,1782,713,2565,3278,2041,680,326,1251,1577,8282
65,2013-14,2014,CHI*,2013ILBulls,NBA,82,48,34,IL,Bulls,0.585,19930,2843,6577,2335,5118,508,1459,1486,1908,937,2683,3620,1860,594,424,1223,1565,7680
26,2013-14,2014,IND*,2013INPacers,NBA,82,56,26,IN,Pacers,0.683,19780,2949,6573,2399,5031,550,1542,1485,1907,834,2831,3665,1651,550,446,1237,1675,7933
162,2013-14,2014,NOP,2013LAPelicans,NBA,82,34,48,LA,Pelicans,0.415,19855,3101,6761,2615,5458,486,1303,1489,1936,933,2486,3419,1745,647,523,1129,1857,8177
