rank,team,name,salary,year
221,,"
Brandon Jennings
Point Guard
","$2,493,720  ",2011
222,,"
JaVale McGee
Center
","$2,462,399  ",2011
223,,"
Quentin Richardson
Power Forward
","$2,446,200  ",2011
224,,"
Paul George
Small Forward
","$2,406,240  ",2011
225,,"
Louis Amundson
Power Forward
","$2,403,000  ",2011
226,,"
J.R. Smith
Shooting Guard
","$2,382,353  ",2011
227,,"
Kemba Walker
Point Guard
","$2,356,320  ",2011
228,,"
J.J Hickson
Power Forward
","$2,354,536  ",2011
229,,"
Derek Fisher
Point Guard
","$2,329,545  ",2011
230,,"
Cole Aldrich
Center
","$2,286,000  ",2011
231,,"
Gerald Henderson
Shooting Guard
","$2,250,600  ",2011
232,,"
Anthony Parker
Shooting Guard
","$2,250,000  ",2011
233,,"
Ryan Anderson
Power Forward
","$2,244,600  ",2011
234,,"
Jimmer Fredette
Point Guard
","$2,238,360  ",2011
235,,"
Courtney Lee
Shooting Guard
","$2,225,092  ",2011
236,,"
Kosta Koufos
Center
","$2,203,792  ",2011
237,,"
Xavier Henry
Shooting Guard
","$2,171,640  ",2011
238,,"
Nicolas Batum
Shooting Guard
","$2,155,364  ",2011
239,,"
Josh Howard
Small Forward
","$2,150,000  ",2011
240,,"
Tyler Hansbrough
Power Forward
","$2,138,400  ",2011
241,,"
Klay Thompson
Shooting Guard
","$2,126,520  ",2011
242,,"
DeMar DeRozan
Shooting Guard
","$2,112,805  ",2011
243,,"
Goran Dragic
Point Guard
","$2,108,000  ",2011
244,,"
George Hill
Point Guard
","$2,086,359  ",2011
245,,"
Ed Davis
Power Forward
","$2,063,040  ",2011
246,,"
Anthony Tolliver
Power Forward
","$2,050,000  ",2011
247,,"
Darrell Arthur
Power Forward
","$2,027,118  ",2011
248,,"
Alec Burks
Shooting Guard
","$2,020,200  ",2011
249,,"
Reggie Williams
Small Forward
","$2,012,195  ",2011
250,,"
D.J. White
Power Forward
","$2,001,167  ",2011
251,,"
Chauncey Billups
Point Guard
","$2,000,000  ",2011
,,"
Dante Cunningham
Power Forward
","$2,000,000  ",2011
,,"
Earl Watson
Point Guard
","$2,000,000  ",2011
254,,"
Patrick Patterson
Power Forward
","$1,959,960  ",2011
255,,"
Austin Daye
Power Forward
","$1,929,840  ",2011
256,,"
Markieff Morris
Power Forward
","$1,919,160  ",2011
257,,"
Matt Barnes
Small Forward
","$1,900,000  ",2011
258,,"
Larry Sanders
Center
","$1,861,920  ",2011
259,,"
Omer Asik
Center
","$1,857,500  ",2011
260,,"
James Johnson
Power Forward
","$1,833,120  ",2011
261,,"
Marcus Morris
Power Forward
","$1,823,280  ",2011
262,,"
Luke Babbitt
Small Forward
","$1,768,800  ",2011
263,,"
Jrue Holiday
Point Guard
","$1,741,440  ",2011
264,,"
Kawhi Leonard
Small Forward
","$1,731,960  ",2011
265,,"
Kevin Seraphin
Power Forward
","$1,680,360  ",2011
266,,"
Ty Lawson
Point Guard
","$1,654,440  ",2011
267,,"
Nikola Vucevic
Center
","$1,645,440  ",2011
268,,"
Eric Bledsoe
Point Guard
","$1,596,360  ",2011
269,,"
Jeff Teague
Point Guard
","$1,579,920  ",2011
270,,"
Gustavo Ayon
Power Forward
","$1,567,500  ",2011
271,,"
Iman Shumpert
Shooting Guard
","$1,563,120  ",2011
272,,"
Avery Bradley
Shooting Guard
","$1,524,480  ",2011
273,,"
Eric Maynor
Point Guard
","$1,516,680  ",2011
274,,"
Sebastian Telfair
Point Guard
","$1,500,000  ",2011
,,"
Jeff Ayres
Power Forward
","$1,500,000  ",2011
,,"
James Jones
Shooting Guard
","$1,500,000  ",2011
,,"
Gary Forbes
Small Forward
","$1,500,000  ",2011
278,,"
Chris Singleton
Small Forward
","$1,485,000  ",2011
279,,"
James Anderson
Shooting Guard
","$1,463,520  ",2011
280,,"
Darren Collison
Point Guard
","$1,455,960  ",2011
281,,"
Tobias Harris
Small Forward
","$1,418,160  ",2011
282,,"
Kurt Thomas
Power Forward
","$1,352,181  ",2011
,,"
Willie Green
Small Forward
","$1,352,181  ",2011
,,"
Vladimir Radmanovic
Small Forward
","$1,352,181  ",2011
,,"
Brian Scalabrine
Power Forward
","$1,352,181  ",2011
