rank,team,name,salary,year
247,,"
Troy Brown Jr.
Small Forward
","$2,749,080  ",2018
248,,"
Guerschon Yabusele
Power Forward
","$2,667,600  ",2018
249,,"
Domantas Sabonis
Center
","$2,659,800  ",2018
250,,"
Jerian Grant
Point Guard
","$2,639,314  ",2018
251,,"
Zhaire Smith
Shooting Guard
","$2,611,800  ",2018
252,,"
Delon Wright
Point Guard
","$2,536,898  ",2018
253,,"
DJ Wilson
Power Forward
","$2,534,280  ",2018
254,,"
Dario Saric
Power Forward
","$2,526,840  ",2018
,,"
Taurean Prince
Small Forward
","$2,526,840  ",2018
256,,"
Justin Anderson
Shooting Guard
","$2,516,048  ",2018
257,,"
Reggie Bullock
Shooting Guard
","$2,500,000  ",2018
258,,"
Bobby Portis
Power Forward
","$2,494,346  ",2018
259,,"
Dante Cunningham
Power Forward
","$2,487,000  ",2018
260,,"
Donte DiVincenzo
Shooting Guard
","$2,481,000  ",2018
261,,"
Rondae Hollis-Jefferson
Small Forward
","$2,470,357  ",2018
262,,"
Tyus Jones
Point Guard
","$2,444,053  ",2018
263,,"
Jarell Martin
Power Forward
","$2,416,222  ",2018
264,,"
TJ Leaf
Power Forward
","$2,407,560  ",2018
265,,"
Wayne Ellington
Shooting Guard
","$2,383,076  ",2018
266,,"
Lonnie Walker IV
Shooting Guard
","$2,357,160  ",2018
267,,"
John Collins
Power Forward
","$2,299,080  ",2018
268,,"
Denzel Valentine
Shooting Guard
","$2,280,600  ",2018
269,,"
Larry Nance Jr.
Power Forward
","$2,272,391  ",2018
270,,"
Kevin Huerter
Shooting Guard
","$2,250,960  ",2018
271,,"
Harry Giles
Power Forward
","$2,207,040  ",2018
272,,"
Darius Miller
Small Forward
","$2,205,000  ",2018
273,,"
Juan Hernangomez
Power Forward
","$2,166,360  ",2018
274,,"
Josh Okogie
Shooting Guard
","$2,160,720  ",2018
275,,"
Raul Neto
Point Guard
","$2,150,000  ",2018
276,,"
Terrance Ferguson
Shooting Guard
","$2,118,840  ",2018
277,,"
Grayson Allen
Shooting Guard
","$2,074,320  ",2018
278,,"
Jarrett Allen
Center
","$2,034,120  ",2018
279,,"
Corey Brewer
Shooting Guard
","$2,000,000  ",2018
,,"
Torrey Craig
Small Forward
","$2,000,000  ",2018
281,,"
Chandler Hutchison
Small Forward
","$1,991,520  ",2018
282,,"
Ante Zizic
Center
","$1,952,760  ",2018
,,"
OG Anunoby
Small Forward
","$1,952,760  ",2018
284,,"
Shabazz Napier
Point Guard
","$1,942,422  ",2018
285,,"
Aaron Holiday
Point Guard
","$1,911,960  ",2018
286,,"
Tyler Lydon
Power Forward
","$1,874,640  ",2018
287,,"
Anfernee Simons
Shooting Guard
","$1,835,520  ",2018
288,,"
Trey Burke
Point Guard
","$1,795,015  ",2018
289,,"
Malik Beasley
Shooting Guard
","$1,773,840  ",2018
290,,"
Moritz Wagner
Power Forward
","$1,762,080  ",2018
291,,"
Nerlens Noel
Center
","$1,757,429  ",2018
292,,"
Furkan Korkmaz
Shooting Guard
","$1,740,000  ",2018
