,index,Player,state
585,Georgia Institute of Technology,Drew Barry,GA
586,Georgia Institute of Technology,Matt Harpring,GA
587,Georgia Institute of Technology,Dion Glover,GA
588,Georgia Institute of Technology,Alvin Jones,GA
589,Georgia Institute of Technology,Chris Bosh,GA
590,Georgia Institute of Technology,Will Bynum,GA
591,Georgia Institute of Technology,Jarrett Jack,GA
592,Georgia Institute of Technology,Luke Schenscher,GA
593,Georgia Institute of Technology,Javaris Crittenton,GA
594,Georgia Institute of Technology,Thaddeus Young,GA
595,Georgia Institute of Technology,Anthony Morrow,GA
596,Georgia Institute of Technology,Derrick Favors,GA
597,Georgia Institute of Technology,Gani Lawal,GA
598,Georgia Institute of Technology,Iman Shumpert,GA
599,Georgia Institute of Technology,Marcus Georges-Hunt,GA
600,Georgia Southern University,Perry Warbington,GA
601,Georgia Southern University,Jeff Sanders,GA
602,Georgia Southern University,Michael Curry,GA
603,Georgia State University,Lanard Copeland,GA
604,Gonzaga University,John Stockton*,WA
605,Gonzaga University,Mike Champion,WA
606,Gonzaga University,Dan Dickau,WA
607,Gonzaga University,Richie Frahm,WA
608,Gonzaga University,Ronny Turiaf,WA
609,Gonzaga University,Adam Morrison,WA
610,Gonzaga University,Austin Daye,WA
611,Gonzaga University,Jeremy Pargo,WA
612,Gonzaga University,Robert Sacre,WA
613,Gonzaga University,Elias Harris,WA
614,Gonzaga University,Kelly Olynyk,WA
615,Gonzaga University,David Stockton,WA
616,Gonzaga University,Domantas Sabonis,WA
617,Gonzaga University,Kyle Wiltjer,WA
618,Grambling State University,Bob Hopkins,LA
619,Grambling State University,Charlie Hardnett,LA
620,Grambling State University,Willis Reed*,LA
621,Grambling State University,Will Frazier,LA
622,Grambling State University,Rich Johnson,LA
623,Grambling State University,Bob Christian,LA
624,Grambling State University,Fred Hilton,LA
625,Grambling State University,Aaron James,LA
626,Grambling State University,Jimmy Jones,LA
627,Grambling State University,Larry Wright,LA
628,Grambling State University,Willie Reed,LA
629,Grand Canyon University,Bayard Forrest,AZ
630,Grand Canyon University,Horacio Llamas,AZ
631,Guilford College,Bob Kauffman,NC
632,Guilford College,Greg Jackson,NC
633,Hamline University,Vern Mikkelsen*,MN
634,Hamline University,Johnny Norlander,MN
635,Hamline University,Howie Schultz,MN
636,Hamline University,Rollie Seltz,MN
637,Hamline University,Joe Hutton,MN
638,Hamline University,Jim Fritsche,MN
639,Hampton University,Rick Mahorn,
640,Hampton University,Devin Green,
641,Hardin-Simmons University,Harvey Catchings,TX
642,Harvard University,Ed Smith,MA
643,Harvard University,Jeremy Lin,MA
644,Hillsdale College,Bud Acton,MI
645,Hofstra University,Bill Thieben,NY
646,Hofstra University,Rich Laurel,NY
647,Hofstra University,Speedy Claxton,NY
648,Hofstra University,Norm Richardson,NY
649,Hofstra University,Charles Jenkins,NY
650,Howard University,Larry Spriggs,DC
651,Humboldt State University,Damone Brown,CA
652,Huntington University,Ralph Johnson,
653,Idaho State University,Ron Boone,ID
654,Idaho State University,Greg Griffin,ID
655,Idaho State University,Jeff Cook,ID
656,Idaho State University,Steve Hayes,ID
657,Idaho State University,Dale Wilkinson,ID
658,Idaho State University,Cherokee Parks,ID
659,Idaho State University,Damien Wilkins,ID
660,Illinois State University,Doug Collins,IL
661,Illinois State University,Robert Hawkins,IL
662,Illinois State University,Don Collins,IL
663,Illinois State University,Jeff Wilkins,IL
664,Illinois Wesleyan University,Jack Sikma,IL
665,Indian Hills Community College,Ernest Brown,IA
666,Indiana State University,Duane Klueh,IN
667,Indiana State University,Bob Royer,IN
668,Indiana State University,Dick Atha,IN
669,Indiana State University,Larry Bird*,IN
670,Indiana State University,Carl Nicks,IN
671,Indiana University,Curly Armstrong,
672,Indiana University,John Logan,
673,Indiana University,Herm Schaefer,
674,Indiana University,Bill Tosheff,
675,Indiana University,Dick Farley,
676,Indiana University,Slick Leonard*,
677,Indiana University,Archie Dees,
678,Indiana University,Walt Bellamy*,
679,Indiana University,Ron Horn,
680,Indiana University,Frank Radovich,
681,Indiana University,Jon McGlocklin,
682,Indiana University,Joe Cooke,
683,Indiana University,Joby Wright,
684,Indiana University,Steve Downing,
685,Indiana University,John Laskowski,
686,Indiana University,George McGinnis,
687,Indiana University,Tom Abernethy,
