RK,TEAM,GMS,TOTAL,AVG,PCT,year,sport
23,Lakers,33,626901,18997,99.7,2012,nba
24,Clippers,33,634237,19219,100.8,2012,nba
25,Jazz,33,637124,19306,97.0,2012,nba
26,NY Knicks,33,652179,19763,100.0,2012,nba
27,Heat,33,657855,19935,101.7,2012,nba
28,Mavericks,33,671050,20334,105.9,2012,nba
29,Trail Blazers,33,676384,20496,102.6,2012,nba
30,Bulls,33,731326,22161,105.9,2012,nba
3,Kings,41,563743,13749,79.4,2013,nba
4,Pelicans,41,565930,13803,80.3,2013,nba
5,Pistons,41,606094,14782,67.0,2013,nba
6,Bucks,41,616469,15035,80.3,2013,nba
7,Hawks,41,620146,15125,80.8,2013,nba
8,Pacers,41,626069,15269,84.1,2013,nba
9,Hornets,41,628293,15324,80.3,2013,nba
10,Suns,41,632913,15436,83.8,2013,nba
11,Cavaliers,41,663882,16192,78.7,2013,nba
12,Timberwolves,41,669956,16340,84.4,2013,nba
13,Wizards,41,670070,16343,80.6,2013,nba
14,Grizzlies,41,681613,16624,91.8,2013,nba
15,Rockets,41,683564,16672,92.4,2013,nba
16,76ers,41,685412,16717,82.2,2013,nba
17,Nets,41,704702,17187,94.9,2013,nba
18,Magic,41,721414,17595,93.4,2013,nba
19,Nuggets,41,730616,17819,93.0,2013,nba
20,Raptors,41,743936,18144,91.6,2013,nba
21,Thunder,41,746323,18203,100.0,2013,nba
22,Spurs,41,755700,18431,99.2,2013,nba
23,Celtics,40,744960,18624,100.0,2013,nba
24,Jazz,41,765915,18680,93.8,2013,nba
25,Lakers,41,778877,18997,99.7,2013,nba
26,NY Knicks,41,780353,19033,96.3,2013,nba
27,Clippers,41,788293,19226,100.9,2013,nba
28,Warriors,41,794320,19373,98.9,2013,nba
29,Trail Blazers,41,813012,19829,95.4,2013,nba
30,Heat,41,819290,19982,102.0,2013,nba
31,Mavericks,41,821490,20036,104.4,2013,nba
32,Bulls,41,896944,21876,104.6,2013,nba
3,Bucks,41,552967,13487,72.1,2014,nba
4,76ers,41,568632,13869,68.2,2014,nba
5,Hawks,41,587927,14339,76.6,2014,nba
6,Timberwolves,41,597157,14564,75.2,2014,nba
7,Pistons,41,615238,15005,68.0,2014,nba
8,Hornets,41,636268,15518,81.3,2014,nba
9,Suns,41,650739,15871,86.2,2014,nba
10,Magic,41,666046,16245,86.2,2014,nba
11,Kings,41,667949,16291,94.1,2014,nba
12,Pelicans,41,672029,16390,95.4,2014,nba
13,Grizzlies,41,685458,16718,92.3,2014,nba
14,Nuggets,41,692898,16899,88.2,2014,nba
15,Wizards,41,698068,17026,84.0,2014,nba
16,Nets,41,707331,17251,95.3,2014,nba
17,Cavaliers,41,710522,17329,84.3,2014,nba
18,Pacers,41,717542,17501,96.3,2014,nba
19,Celtics,41,742400,18107,97.2,2014,nba
20,Rockets,41,743082,18123,100.4,2014,nba
21,Jazz,41,745203,18175,91.3,2014,nba
22,Thunder,41,746323,18203,100.0,2014,nba
23,Raptors,41,748339,18252,92.2,2014,nba
24,Spurs,41,755031,18415,99.1,2014,nba
25,Lakers,41,771974,18828,98.8,2014,nba
26,Clippers,41,787692,19212,100.8,2014,nba
27,Warriors,41,803436,19596,100.0,2014,nba
28,Trail Blazers,41,809612,19746,95.0,2014,nba
29,Heat,41,811036,19781,100.9,2014,nba
30,NY Knicks,41,812292,19812,100.0,2014,nba
