rank,team,name,salary,year
412,,"
D.J. Hayden
Cornerback
","$2,815,554  ",2015
413,,"
Rashad Jennings
Running Back
","$2,812,500  ",2015
414,,"
Steve McLendon
Defensive Tackle
","$2,808,334  ",2015
415,,"
Chris Chester
Guard
","$2,800,000  ",2015
416,,"
Tramaine Brock
Cornerback
","$2,790,000  ",2015
417,,"
Eric Ebron
Tight End
","$2,783,898  ",2015
418,,"
Kevin Huber
Punter
","$2,770,000  ",2015
419,,"
Adam Vinatieri
Kicker
","$2,750,000  ",2015
,,"
Buster Skrine
Cornerback
","$2,750,000  ",2015
,,"
Chris Ivory
Running Back
","$2,750,000  ",2015
,,"
George Johnson
Defensive End
","$2,750,000  ",2015
,,"
Owen Daniels
Tight End
","$2,750,000  ",2015
424,,"
Dre Kirkpatrick
Cornerback
","$2,743,680  ",2015
