name,salary,year
Jason Hanson,"$2,850,000  ",2011
Maake Kemoeatu,"$2,828,000  ",2011
C.J. Spiller,"$2,822,916  ",2011
Tony Pashos,"$2,800,000  ",2011
Evan Moore,"$2,800,000  ",2011
Chris Chester,"$2,800,000  ",2011
Tyson Clabo,"$2,800,000  ",2011
Ray Edwards,"$2,800,000  ",2011
Kareem Jackson,"$2,800,000  ",2011
Frank Omiyale,"$2,800,000  ",2011
Jabar Gaffney,"$2,775,000  ",2011
Doug Free,"$2,760,000  ",2011
Nate Burleson,"$2,755,073  ",2011
Anthony Davis,"$2,754,167  ",2011
Kerry Collins,"$2,750,000  ",2011
Ahmad Bradshaw,"$2,750,000  ",2011
James Jones,"$2,750,000  ",2011
Matt Leinart,"$2,750,000  ",2011
Shaun Cody,"$2,750,000  ",2011
Ty Warren,"$2,750,000  ",2011
Billy Volek,"$2,740,000  ",2011
Rob Sims,"$2,725,000  ",2011
David Baas,"$2,700,000  ",2011
Willie Colon,"$2,700,000  ",2011
Keith Brooking,"$2,700,000  ",2011
Anthony Fasano,"$2,675,000  ",2011
Devin Hester,"$2,666,833  ",2011
Bryant McFadden,"$2,666,667  ",2011
Jahvid Best,"$2,650,500  ",2011
Brad Meester,"$2,650,000  ",2011
Seneca Wallace,"$2,616,667  ",2011
Aldon Smith,"$2,615,273  ",2011
Cliff Avril,"$2,611,000  ",2011
Brent Grimes,"$2,611,000  ",2011
Carl Nicks,"$2,611,000  ",2011
Brandon Carr,"$2,610,000  ",2011
Michael Bush,"$2,610,000  ",2011
Adam Vinatieri,"$2,600,000  ",2011
Dawan Landry,"$2,600,000  ",2011
John Kuhn,"$2,600,000  ",2011
Stephen Gostkowski,"$2,600,000  ",2011
Lance Moore,"$2,600,000  ",2011
Knowshon Moreno,"$2,588,800  ",2011
Donte Whitner,"$2,583,333  ",2011
Chad Johnson,"$2,583,333  ",2011
Jonathan Stewart,"$2,572,500  ",2011
Gerald Sensabaugh,"$2,550,000  ",2011
Jason Spitz,"$2,535,000  ",2011
Michael Huff,"$2,513,750  ",2011
