rank,team,name,salary,year
,,"
Jeff Allen
Guard
","$6,250,000  ",2016
181,,"
Cordy Glenn
Left Tackle
","$6,200,000  ",2016
,,"
Sean Lee
Outside Linebacker
","$6,200,000  ",2016
183,,"
Emmanuel Sanders
Wide Receiver
","$6,187,500  ",2016
184,,"
T.J. Lang
Guard
","$6,181,250  ",2016
185,,"
Marcus Cannon
Right Tackle
","$6,154,168  ",2016
186,,"
Dontari Poe
Defensive Tackle
","$6,146,000  ",2016
187,,"
Da'Norris Searcy
Strong Safety
","$6,125,000  ",2016
,,"
Michael Johnson
Defensive End
","$6,125,000  ",2016
189,,"
Kam Chancellor
Strong Safety
","$6,100,000  ",2016
,,"
Aaron Williams
Strong Safety
","$6,100,000  ",2016
,,"
Donald Penn
Left Tackle
","$6,100,000  ",2016
192,,"
Jadeveon Clowney
Outside Linebacker
","$6,074,454  ",2016
193,,"
Bobby Wagner
Inside Linebacker
","$6,068,750  ",2016
194,,"
Antoine Bethea
Strong Safety
","$6,025,000  ",2016
195,,"
Charles Clay
Tight End
","$6,000,000  ",2016
,,"
DeMarco Murray
Running Back
","$6,000,000  ",2016
,,"
C.J. Anderson
Running Back
","$6,000,000  ",2016
,,"
Reggie Nelson
Free Safety
","$6,000,000  ",2016
,,"
Luke Kuechly
Inside Linebacker
","$6,000,000  ",2016
,,"
Michael Oher
Right Tackle
","$6,000,000  ",2016
,,"
Davon House
Cornerback
","$6,000,000  ",2016
,,"
Mark Barron
Inside Linebacker
","$6,000,000  ",2016
203,,"
Morgan Burnett
Strong Safety
","$5,956,250  ",2016
204,,"
Carlos Dunlap
Defensive End
","$5,950,000  ",2016
205,,"
Ezekiel Ansah
Defensive End
","$5,916,439  ",2016
206,,"
Austin Howard
Right Tackle
","$5,900,000  ",2016
207,,"
Jason Witten
Tight End
","$5,862,000  ",2016
208,,"
Bobby Massie
Right Tackle
","$5,818,750  ",2016
209,,"
Cameron Jordan
Defensive End
","$5,812,000  ",2016
210,,"
Greg Robinson
Left Tackle
","$5,804,754  ",2016
211,,"
Whitney Mercilus
Outside Linebacker
","$5,784,375  ",2016
212,,"
Jameis Winston
Quarterback
","$5,761,654  ",2016
213,,"
T.J. Ward
Strong Safety
","$5,750,000  ",2016
214,,"
Malcolm Jenkins
Free Safety
","$5,666,668  ",2016
215,,"
Rodger Saffold
Guard
","$5,656,250  ",2016
216,,"
Blake Bortles
Quarterback
","$5,633,130  ",2016
217,,"
Breno Giacomini
Right Tackle
","$5,625,000  ",2016
,,"
Marcus Gilchrist
Strong Safety
","$5,625,000  ",2016
219,,"
Prince Amukamara
Cornerback
","$5,593,750  ",2016
220,,"
Marcus Mariota
Quarterback
","$5,503,176  ",2016
221,,"
Chris Hogan
Wide Receiver
","$5,500,000  ",2016
,,"
Vince Wilfork
Defensive Tackle
","$5,500,000  ",2016
,,"
Lamar Miller
Running Back
","$5,500,000  ",2016
,,"
Derek Newton
Right Tackle
","$5,500,000  ",2016
,,"
Ryan Clady
Left Tackle
","$5,500,000  ",2016
,,"
Antonio Gates
Tight End
","$5,500,000  ",2016
227,,"
Bryan Bulaga
Right Tackle
","$5,462,500  ",2016
228,,"
Sammy Watkins
Wide Receiver
","$5,436,983  ",2016
229,,"
Josh Sitton
Guard
","$5,416,666  ",2016
230,,"
Andy Levitre
Guard
","$5,375,000  ",2016
,,"
Kelvin Beachum
Left Tackle
","$5,375,000  ",2016
232,,"
Dante Fowler Jr.
Defensive End
","$5,338,694  ",2016
233,,"
Jamaal Charles
Running Back
","$5,312,500  ",2016
234,,"
David DeCastro
Guard
","$5,270,000  ",2016
235,,"
Buster Skrine
Cornerback
","$5,254,000  ",2016
236,,"
Brian Robison
Defensive End
","$5,250,000  ",2016
237,,"
Robert Griffin III
Quarterback
","$5,234,375  ",2016
238,,"
Allen Bailey
Defensive End
","$5,212,500  ",2016
239,,"
Russell Okung
Left Tackle
","$5,200,000  ",2016
,,"
Jason Kelce
Center
","$5,200,000  ",2016
241,,"
Martellus Bennett
Tight End
","$5,185,000  ",2016
242,,"
Amari Cooper
Wide Receiver
","$5,150,708  ",2016
243,,"
King Dunlap
Left Tackle
","$5,143,750  ",2016
244,,"
Casey Hayward
Cornerback
","$5,133,333  ",2016
245,,"
Devin McCourty
Free Safety
","$5,132,500  ",2016
246,,"
Paul Posluszny
Outside Linebacker
","$5,104,166  ",2016
247,,"
Jimmy Smith
Cornerback
","$5,100,000  ",2016
,,"
Greg Olsen
Tight End
","$5,100,000  ",2016
,,"
Darren Sproles
Running Back
","$5,100,000  ",2016
250,,"
Trent Cole
Outside Linebacker
","$5,093,750  ",2016
251,,"
Khalil Mack
Defensive End
","$5,093,727  ",2016
252,,"
Jared Goff
Quarterback
","$5,079,577  ",2016
253,,"
George Iloka
Free Safety
","$5,075,000  ",2016
254,,"
David Bakhtiari
Left Tackle
","$5,070,967  ",2016
255,,"
DeAngelo Hall
Cornerback
","$5,062,500  ",2016
256,,"
Marquette King
Punter
","$5,050,000  ",2016
257,,"
Josh McCown
Quarterback
","$5,041,666  ",2016
258,,"
Robert Mathis
Outside Linebacker
","$5,000,000  ",2016
,,"
Jared Veldheer
Right Tackle
","$5,000,000  ",2016
,,"
Shawn Lauvao
Guard
","$5,000,000  ",2016
,,"
Chase Daniel
Quarterback
","$5,000,000  ",2016
,,"
Brandon Graham
Defensive End
","$5,000,000  ",2016
263,,"
Shane Vereen
Running Back
","$4,916,666  ",2016
264,,"
Nick Perry
Outside Linebacker
","$4,875,000  ",2016
265,,"
Carson Wentz
Quarterback
","$4,850,243  ",2016
266,,"
Kenny Britt
Wide Receiver
","$4,850,000  ",2016
267,,"
Brandon Scherff
Guard
","$4,821,735  ",2016
268,,"
Orlando Scandrick
Cornerback
","$4,796,385  ",2016
269,,"
Corey Graham
Free Safety
","$4,775,000  ",2016
270,,"
Barry Church
Strong Safety
","$4,750,000  ",2016
,,"
Clint Boling
Guard
","$4,750,000  ",2016
,,"
Chad Henne
Quarterback
","$4,750,000  ",2016
273,,"
Willie Young
Outside Linebacker
","$4,716,668  ",2016
274,,"
Joey Bosa
Defensive End
","$4,704,306  ",2016
275,,"
Sen'Derrick Marks
Defensive Tackle
","$4,675,000  ",2016
276,,"
Darian Stewart
Free Safety
","$4,650,000  ",2016
277,,"
Giovani Bernard
Running Back
","$4,621,517  ",2016
278,,"
Jeremy Zuttah
Center
","$4,607,206  ",2016
279,,"
Darius Slay
Cornerback
","$4,606,691  ",2016
280,,"
Mychal Kendricks
Outside Linebacker
","$4,600,000  ",2016
281,,"
Captain Munnerlyn
Cornerback
","$4,583,334  ",2016
282,,"
Brandon Marshall
Inside Linebacker
","$4,553,000  ",2016
283,,"
Joe Barksdale
Right Tackle
","$4,550,000  ",2016
284,,"
Ezekiel Elliott
Running Back
","$4,537,516  ",2016
285,,"
Akiem Hicks
Defensive End
","$4,500,000  ",2016
,,"
Eddie Royal
Wide Receiver
","$4,500,000  ",2016
,,"
Gosder Cherilus
Right Tackle
","$4,500,000  ",2016
,,"
Doug Free
Right Tackle
","$4,500,000  ",2016
,,"
Vincent Rey
Inside Linebacker
","$4,500,000  ",2016
,,"
Lance Kendricks
Tight End
","$4,500,000  ",2016
291,,"
Jake Matthews
Left Tackle
","$4,480,773  ",2016
292,,"
D'Qwell Jackson
Inside Linebacker
","$4,455,882  ",2016
293,,"
Dustin Colquitt
Punter
","$4,450,000  ",2016
294,,"
Julian Edelman
Wide Receiver
","$4,421,875  ",2016
295,,"
Victor Cruz
Wide Receiver
","$4,400,000  ",2016
296,,"
Max Unger
Center
","$4,356,240  ",2016
297,,"
Tyrone Crawford
Defensive End
","$4,350,000  ",2016
