Player,Tm,Lg,AV,salary,index,college,state
Joe Flacco,RAV,NFL,102,"$5,725,000 ",University of Pittsburgh,Pittsburgh,PA
Joe Flacco,RAV,NFL,102,"$5,725,000 ",University of Pittsburgh,Pittsburgh,PA
Joe Flacco,RAV,NFL,102,"$8,000,000 ",University of Pittsburgh,Pittsburgh,PA
Joe Flacco,RAV,NFL,102,"$6,800,000 ",University of Pittsburgh,Pittsburgh,PA
Joe Flacco,RAV,NFL,102,"$14,800,000 ",University of Pittsburgh,Pittsburgh,PA
Joe Flacco,RAV,NFL,102,"$14,550,000 ",University of Pittsburgh,Pittsburgh,PA
Joe Flacco,RAV,NFL,102,"$22,550,000 ",University of Pittsburgh,Pittsburgh,PA
Joe Flacco,RAV,NFL,102,"$24,550,000 ",University of Pittsburgh,Pittsburgh,PA
Joe Flacco,RAV,NFL,102,"$24,750,000 ",University of Pittsburgh,Pittsburgh,PA
Julio Jones,ATL,NFL,102,"$2,957,500 ",University of Alabama,Alabama,AL
Julio Jones,ATL,NFL,102,"$2,957,500 ",University of Alabama,Alabama,AL
Julio Jones,ATL,NFL,102,"$3,678,125 ",University of Alabama,Alabama,AL
Julio Jones,ATL,NFL,102,"$4,413,750 ",University of Alabama,Alabama,AL
Julio Jones,ATL,NFL,102,"$5,149,375 ",University of Alabama,Alabama,AL
Julio Jones,ATL,NFL,102,"$12,400,000 ",University of Alabama,Alabama,AL
Julio Jones,ATL,NFL,102,"$15,900,000 ",University of Alabama,Alabama,AL
Julio Jones,ATL,NFL,102,"$13,900,000 ",University of Alabama,Alabama,AL
Julio Jones,ATL,NFL,102,"$12,866,667 ",University of Alabama,Alabama,AL
LeSean McCoy,TOT,NFL,98,"$867,530 ",University of Pittsburgh,Pittsburgh,PA
LeSean McCoy,TOT,NFL,98,"$867,530 ",University of Pittsburgh,Pittsburgh,PA
LeSean McCoy,TOT,NFL,98,"$2,770,030 ",University of Pittsburgh,Pittsburgh,PA
LeSean McCoy,TOT,NFL,98,"$4,950,000 ",University of Pittsburgh,Pittsburgh,PA
LeSean McCoy,TOT,NFL,98,"$9,700,000 ",University of Pittsburgh,Pittsburgh,PA
LeSean McCoy,TOT,NFL,98,"$5,500,000 ",University of Pittsburgh,Pittsburgh,PA
LeSean McCoy,TOT,NFL,98,"$7,675,000 ",University of Pittsburgh,Pittsburgh,PA
LeSean McCoy,TOT,NFL,98,"$10,375,000 ",University of Pittsburgh,Pittsburgh,PA
LeSean McCoy,TOT,NFL,98,"$8,950,000 ",University of Pittsburgh,Pittsburgh,PA
Haloti Ngata,TOT,NFL,98,"$7,100,000 ",Oregon State University,Oregon,OR
Haloti Ngata,TOT,NFL,98,"$7,100,000 ",Oregon State University,Oregon,OR
Haloti Ngata,TOT,NFL,98,"$10,400,000 ",Oregon State University,Oregon,OR
Haloti Ngata,TOT,NFL,98,"$11,500,000 ",Oregon State University,Oregon,OR
Haloti Ngata,TOT,NFL,98,"$14,000,000 ",Oregon State University,Oregon,OR
Haloti Ngata,TOT,NFL,98,"$8,500,000 ",Oregon State University,Oregon,OR
Haloti Ngata,TOT,NFL,98,"$4,218,750 ",Oregon State University,Oregon,OR
Haloti Ngata,TOT,NFL,98,"$7,703,125 ",Oregon State University,Oregon,OR
Haloti Ngata,TOT,NFL,98,"$2,925,000 ",Oregon State University,Oregon,OR
Ndamukong Suh,TOT,NFL,98,"$11,904,706 ",University of Nebraska at Kearney,Nebraska,NE
Ndamukong Suh,TOT,NFL,98,"$11,904,706 ",University of Nebraska at Kearney,Nebraska,NE
Ndamukong Suh,TOT,NFL,98,"$6,562,500 ",University of Nebraska at Kearney,Nebraska,NE
Ndamukong Suh,TOT,NFL,98,"$10,492,500 ",University of Nebraska at Kearney,Nebraska,NE
Ndamukong Suh,TOT,NFL,98,"$22,412,500 ",University of Nebraska at Kearney,Nebraska,NE
Ndamukong Suh,TOT,NFL,98,"$6,100,000 ",University of Nebraska at Kearney,Nebraska,NE
Ndamukong Suh,TOT,NFL,98,"$12,600,000 ",University of Nebraska at Kearney,Nebraska,NE
Ndamukong Suh,TOT,NFL,98,"$19,100,000 ",University of Nebraska at Kearney,Nebraska,NE
Ndamukong Suh,TOT,NFL,98,"$14,500,000 ",University of Nebraska at Kearney,Nebraska,NE
Bobby Wagner,SEA,NFL,98,"$783,236 ",,Utah St.,
Bobby Wagner,SEA,NFL,98,"$979,045 ",,Utah St.,
Bobby Wagner,SEA,NFL,98,"$1,174,854 ",,Utah St.,
Bobby Wagner,SEA,NFL,98,"$2,970,663 ",,Utah St.,
Bobby Wagner,SEA,NFL,98,"$6,068,750 ",,Utah St.,
Bobby Wagner,SEA,NFL,98,"$7,600,000 ",,Utah St.,
Bobby Wagner,SEA,NFL,98,"$13,600,000 ",,Utah St.,
Clay Matthews,GNB,NFL,97,"$1,840,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$1,840,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$1,840,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$1,840,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$1,980,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$1,980,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$6,710,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$6,710,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$11,006,250 ",,USC,
Clay Matthews,GNB,NFL,97,"$11,006,250 ",,USC,
Clay Matthews,GNB,NFL,97,"$12,700,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$12,700,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$13,750,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$13,750,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$15,075,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$15,075,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$11,400,000 ",,USC,
Clay Matthews,GNB,NFL,97,"$11,400,000 ",,USC,
Patrick Peterson,CRD,NFL,97,"$3,350,818 ",,LSU,
Patrick Peterson,CRD,NFL,97,"$3,350,818 ",,LSU,
Patrick Peterson,CRD,NFL,97,"$4,188,523 ",,LSU,
Patrick Peterson,CRD,NFL,97,"$5,026,227 ",,LSU,
Patrick Peterson,CRD,NFL,97,"$6,937,132 ",,LSU,
Patrick Peterson,CRD,NFL,97,"$14,791,491 ",,LSU,
Patrick Peterson,CRD,NFL,97,"$10,534,024 ",,LSU,
Patrick Peterson,CRD,NFL,97,"$13,706,965 ",,LSU,
Patrick Peterson,CRD,NFL,97,"$14,956,965 ",,LSU,
Luke Kuechly,CAR,NFL,96,"$2,287,018 ",,Boston Col.,
Luke Kuechly,CAR,NFL,96,"$2,858,773 ",,Boston Col.,
Luke Kuechly,CAR,NFL,96,"$3,430,528 ",,Boston Col.,
Luke Kuechly,CAR,NFL,96,"$6,697,018 ",,Boston Col.,
Luke Kuechly,CAR,NFL,96,"$6,000,000 ",,Boston Col.,
Luke Kuechly,CAR,NFL,96,"$12,763,324 ",,Boston Col.,
Luke Kuechly,CAR,NFL,96,"$7,992,514 ",,Boston Col.,
Geno Atkins,CIN,NFL,95,"$7,118,114 ",Coastal Georgia Community College,Georgia,GA
Geno Atkins,CIN,NFL,95,"$9,000,000 ",Coastal Georgia Community College,Georgia,GA
Geno Atkins,CIN,NFL,95,"$9,000,000 ",Coastal Georgia Community College,Georgia,GA
Geno Atkins,CIN,NFL,95,"$9,600,000 ",Coastal Georgia Community College,Georgia,GA
Geno Atkins,CIN,NFL,95,"$10,600,000 ",Coastal Georgia Community College,Georgia,GA
Geno Atkins,CIN,NFL,95,"$15,100,000 ",Coastal Georgia Community College,Georgia,GA
Josh Sitton,TOT,NFL,95,"$4,896,000 ",Central Florida Community College,Central Florida,FL
Josh Sitton,TOT,NFL,95,"$4,896,000 ",Central Florida Community College,Central Florida,FL
Josh Sitton,TOT,NFL,95,"$4,850,000 ",Central Florida Community College,Central Florida,FL
