Player,college,state,PER
Blake Griffin,University of Oklahoma,OK,96
Blake Griffin,University of Oklahoma,OK,95
Blake Griffin,University of Oklahoma,OK,95
Blake Griffin,University of Oklahoma,OK,95
Blake Griffin,University of Oklahoma,OK,90
Jerome Jordan,University of Tulsa,OK,86
Tony Allen,Oklahoma State University,OK,86
Jerome Jordan,University of Tulsa,OK,79
Buddy Hield,University of Oklahoma,OK,75
Tony Allen,Oklahoma State University,OK,72
Tony Allen,Oklahoma State University,OK,71
Ben Uzoh,University of Tulsa,OK,65
Tony Allen,Oklahoma State University,OK,64
James Anderson,Oklahoma State University,OK,58
Tony Allen,Oklahoma State University,OK,53
Tony Allen,Oklahoma State University,OK,52
Tony Allen,Oklahoma State University,OK,50
Marcus Smart,Oklahoma State University,OK,42
Buddy Hield,University of Oklahoma,OK,40
Marcus Smart,Oklahoma State University,OK,36
Larry Owens,Oral Roberts University,OK,35
Marcus Smart,Oklahoma State University,OK,34
Ben Uzoh,University of Tulsa,OK,33
James Anderson,Oklahoma State University,OK,33
Andre Roberson,Oral Roberts University,OK,33
Marcus Smart,Oklahoma State University,OK,32
Willie Warren,University of Oklahoma,OK,32
Andre Roberson,Oral Roberts University,OK,27
Andre Roberson,Oral Roberts University,OK,23
Eduardo Najera,University of Oklahoma,OK,21
Andre Roberson,Oral Roberts University,OK,20
Andre Roberson,Oral Roberts University,OK,19
Tony Allen,Oklahoma State University,OK,18
James Anderson,Oklahoma State University,OK,18
James Anderson,Oklahoma State University,OK,17
Joey Graham,Oklahoma State University,OK,13
Terrel Harris,Oklahoma State University,OK,10
James Anderson,Oklahoma State University,OK,8
Larry Owens,Oral Roberts University,OK,8
Eduardo Najera,University of Oklahoma,OK,7
Stephen Graham,Oklahoma State University,OK,5
Terrel Harris,Oklahoma State University,OK,1
Eric Moreland,Oregon State University,OR,99
Ivan Johnson,University of Oregon,OR,72
Luke Ridnour,University of Oregon,OR,67
Jared Cunningham,Oregon State University,OR,65
Aaron Brooks,University of Oregon,OR,62
Ivan Johnson,University of Oregon,OR,61
Eric Moreland,Oregon State University,OR,58
Luke Ridnour,University of Oregon,OR,56
Aaron Brooks,University of Oregon,OR,51
Luke Ridnour,University of Oregon,OR,50
Daequan Cook,University of Portland,OR,49
Aaron Brooks,University of Oregon,OR,46
Aaron Brooks,University of Oregon,OR,40
Aaron Brooks,University of Oregon,OR,40
Joe Young,University of Oregon,OR,37
Eugene Jeter,University of Portland,OR,34
Joe Young,University of Oregon,OR,26
Luke Ridnour,University of Oregon,OR,25
Joe Young,University of Oregon,OR,25
Aaron Brooks,University of Oregon,OR,24
Gary Payton,Oregon State University,OR,24
Aaron Brooks,University of Oregon,OR,22
Daequan Cook,University of Portland,OR,21
Luke Ridnour,University of Oregon,OR,19
Jared Cunningham,Oregon State University,OR,17
Eric Moreland,Oregon State University,OR,12
Jared Cunningham,Oregon State University,OR,12
Jared Cunningham,Oregon State University,OR,8
Daequan Cook,University of Portland,OR,8
Ime Udoka,Portland State University,OR,7
Gary Payton,Oregon State University,OR,5
Kyle Lowry,Villanova University,PA,96
Kyle Lowry,Villanova University,PA,95
Steven Adams,University of Pittsburgh,PA,93
Kyle Lowry,Villanova University,PA,91
Kyle Lowry,Villanova University,PA,90
Kyle Lowry,Villanova University,PA,89
Maalik Wayns,Villanova University,PA,89
Kyle Lowry,Villanova University,PA,88
Mike Muscala,Bucknell University,PA,85
DeJuan Blair,University of Pittsburgh,PA,83
Kyle Lowry,Villanova University,PA,82
DeJuan Blair,University of Pittsburgh,PA,81
DeJuan Blair,University of Pittsburgh,PA,81
Kyle Lowry,Villanova University,PA,77
Steven Adams,University of Pittsburgh,PA,77
Steven Adams,University of Pittsburgh,PA,71
Jameer Nelson,Saint Joseph's University,PA,70
Delonte West,Saint Joseph's University,PA,69
Lavoy Allen,Temple University,PA,66
Dante Cunningham,Villanova University,PA,66
DeJuan Blair,University of Pittsburgh,PA,64
Jameer Nelson,Saint Joseph's University,PA,64
Mike Muscala,Bucknell University,PA,62
Mike Muscala,Bucknell University,PA,62
Jameer Nelson,Saint Joseph's University,PA,62
Steven Adams,University of Pittsburgh,PA,60
Jameer Nelson,Saint Joseph's University,PA,58
Tim Frazier,Pennsylvania State University,PA,58
Mike James,Duquesne University,PA,58
Mike Muscala,Bucknell University,PA,56
Mike James,Duquesne University,PA,56
Randy Foye,Villanova University,PA,55
Dante Cunningham,Villanova University,PA,53
Randy Foye,Villanova University,PA,53
Lavoy Allen,Temple University,PA,48
Dante Cunningham,Villanova University,PA,47
Lavoy Allen,Temple University,PA,46
Sam Young,University of Pittsburgh,PA,46
Lavoy Allen,Temple University,PA,45
Tim Frazier,Pennsylvania State University,PA,45
Delonte West,Saint Joseph's University,PA,44
Langston Galloway,Saint Joseph's University,PA,44
Jameer Nelson,Saint Joseph's University,PA,43
Langston Galloway,Saint Joseph's University,PA,43
Randy Foye,Villanova University,PA,40
Langston Galloway,Saint Joseph's University,PA,40
Lavoy Allen,Temple University,PA,39
Jameer Nelson,Saint Joseph's University,PA,38
Lavoy Allen,Temple University,PA,38
Randy Foye,Villanova University,PA,37
Tim Frazier,Pennsylvania State University,PA,36
Steven Adams,University of Pittsburgh,PA,35
Randy Foye,Villanova University,PA,34
Dionte Christmas,Temple University,PA,34
Aaron Gray,University of Pittsburgh,PA,34
Aaron Gray,University of Pittsburgh,PA,34
Mike Muscala,Bucknell University,PA,32
Dante Cunningham,Villanova University,PA,31
Darrun Hilliard,Villanova University,PA,31
Langston Galloway,Saint Joseph's University,PA,29
Dante Cunningham,Villanova University,PA,27
Dante Cunningham,Villanova University,PA,25
Sam Young,University of Pittsburgh,PA,24
Jameer Nelson,Saint Joseph's University,PA,22
Mike James,Duquesne University,PA,22
Dante Cunningham,Villanova University,PA,19
Aaron Gray,University of Pittsburgh,PA,19
DeAndre' Bembry,Saint Joseph's University,PA,18
Dante Cunningham,Villanova University,PA,17
Jameer Nelson,Saint Joseph's University,PA,15
Tim Frazier,Pennsylvania State University,PA,15
Aaron Gray,University of Pittsburgh,PA,14
DeJuan Blair,University of Pittsburgh,PA,13
Randy Foye,Villanova University,PA,13
DeAndre' Bembry,Saint Joseph's University,PA,13
Randy Foye,Villanova University,PA,12
Sam Young,University of Pittsburgh,PA,12
Daniel Ochefu,Villanova University,PA,10
Darrun Hilliard,Villanova University,PA,8
DeJuan Blair,University of Pittsburgh,PA,7
Maalik Wayns,Villanova University,PA,6
Lamar Patterson,University of Pittsburgh,PA,6
