,Player,salary,college,state,AV
111,Alex Smith,"$15,600,000  ",Utah,UT,111
112,Alex Smith,"$15,600,000  ",Stanford,CA,111
113,Alex Smith,"$17,800,000  ",Utah,UT,111
114,Alex Smith,"$17,800,000  ",Stanford,CA,111
115,Alex Smith,"$16,900,000  ",Utah,UT,111
116,Alex Smith,"$16,900,000  ",Stanford,CA,111
117,Alex Smith,"$18,400,000  ",Utah,UT,111
118,Alex Smith,"$18,400,000  ",Stanford,CA,111
119,Alex Smith,"$4,900,000  ",Utah,UT,1
120,Alex Smith,"$4,900,000  ",Stanford,CA,1
121,Alex Smith,"$685,000  ",Utah,UT,1
122,Alex Smith,"$685,000  ",Stanford,CA,1
123,Alex Smith,"$4,900,000  ",Utah,UT,1
124,Alex Smith,"$4,900,000  ",Stanford,CA,1
125,Alex Smith,"$685,000  ",Utah,UT,1
126,Alex Smith,"$685,000  ",Stanford,CA,1
127,Alex Smith,"$9,250,000  ",Utah,UT,1
128,Alex Smith,"$9,250,000  ",Stanford,CA,1
129,Alex Smith,"$850,000  ",Utah,UT,1
130,Alex Smith,"$850,000  ",Stanford,CA,1
131,Alex Smith,"$8,500,000  ",Utah,UT,1
132,Alex Smith,"$8,500,000  ",Stanford,CA,1
133,Alex Smith,"$4,600,000  ",Utah,UT,1
134,Alex Smith,"$4,600,000  ",Stanford,CA,1
135,Alex Smith,"$15,600,000  ",Utah,UT,1
136,Alex Smith,"$15,600,000  ",Stanford,CA,1
137,Alex Smith,"$17,800,000  ",Utah,UT,1
138,Alex Smith,"$17,800,000  ",Stanford,CA,1
139,Alex Smith,"$16,900,000  ",Utah,UT,1
140,Alex Smith,"$16,900,000  ",Stanford,CA,1
141,Alex Smith,"$18,400,000  ",Utah,UT,1
142,Alex Smith,"$18,400,000  ",Stanford,CA,1
143,Matthew Stafford,"$6,123,750  ",Georgia,GA,110
