k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
111,Khris Middleton\middlkh01,2015-16,24,MIL,NBA,16.8,79,79,2852,6.4,14.4,4.6,9.9,1.8,4.6,3.5,3.9,0.6,3.3,3.8,4.2,1.7,0.2,2.3,2.6,18.1,.444,.466,.396,.507,.888,.560
112,Dwight Powell\poweldw01,2015-16,24,DAL,NBA,16.8,69,2,992,5.3,10.7,5.2,10.2,0.1,0.6,3.8,5.2,3.0,6.9,9.9,1.6,1.3,0.9,1.5,4.3,14.5,.493,.514,.125,.497,.739,.557
113,Marvin Williams\willima02,2015-16,29,CHO,NBA,16.8,81,81,2338,5.2,11.5,2.9,5.7,2.3,5.8,1.8,2.2,2.0,6.1,8.0,1.7,0.9,1.2,1.0,2.0,14.6,.452,.504,.402,.554,.833,.585
114,Victor Oladipo\oladivi01,2015-16,23,ORL,NBA,16.7,72,52,2379,6.4,14.7,4.9,10.4,1.5,4.3,3.1,3.7,0.7,4.5,5.2,4.3,1.8,0.8,2.3,2.6,17.4,.438,.475,.348,.489,.830,.534
115,Jared Sullinger\sullija01,2015-16,23,BOS,NBA,16.7,81,73,1915,6.6,15.2,6.1,13.2,0.5,1.9,1.9,3.0,3.6,9.0,12.7,3.5,1.4,0.9,1.9,3.9,15.7,.435,.458,.282,.453,.640,.476
116,Ian Mahinmi\mahinia01,2015-16,29,IND,NBA,16.6,71,71,1816,5.2,8.9,5.2,8.9,0.0,0.0,2.6,4.5,2.7,7.3,10.1,2.1,1.3,1.5,2.0,4.4,13.1,.589,.589,,.589,.587,.603
117,Andrew Wiggins\wiggian01,2015-16,20,MIN,NBA,16.5,81,81,2845,7.5,16.4,6.8,14.0,0.7,2.4,5.4,7.1,1.3,2.4,3.7,2.1,1.0,0.6,2.3,2.1,21.2,.459,.486,.300,.481,.761,.543
118,Jordan Hill\hilljo01,2015-16,28,IND,NBA,16.4,73,11,1513,6.6,13.1,6.6,13.0,0.0,0.0,2.1,3.0,3.7,7.0,10.7,2.1,0.9,0.9,2.2,3.7,15.3,.506,.507,.000,.506,.712,.534
119,Christian Wood\woodch01,2015-16,20,PHI,NBA,16.4,17,0,145,5.5,13.2,4.5,10.4,1.0,2.7,3.2,5.2,3.2,6.2,9.4,0.7,1.2,1.7,0.5,2.7,15.1,.415,.429,.364,.453,.619,.490
120,Kelly Olynyk\olynyke01,2015-16,24,BOS,NBA,16.3,69,8,1395,6.5,14.3,4.3,8.9,2.2,5.4,2.5,3.3,1.9,5.4,7.3,2.7,1.3,0.9,1.9,4.2,17.7,.455,.486,.405,.531,.750,.561
