Year,state,av
2018,MT,3.6666666666666665
2018,MY,0.0
2018,NC,3.4363636363636365
2018,ND,4.142857142857143
2018,NE,2.95
2018,NH,4.0
2018,NJ,2.1875
2018,NM,2.8333333333333335
2018,NV,3.1666666666666665
2018,NY,3.6875
2018,OH,4.355263157894737
2018,OK,3.4782608695652173
2018,OR,3.590909090909091
2018,PA,4.346153846153846
2018,RI,1.0
2018,SC,4.222222222222222
2018,SD,3.5
2018,TN,3.2545454545454544
2018,TX,3.41044776119403
2018,UT,3.292682926829268
2018,VA,2.35
2018,WA,3.193548387096774
2018,WI,5.4
2018,WV,2.5789473684210527
2018,WY,2.8333333333333335
2018,canada,5.25
