player,war,year,id,college,state,percentile
Brian Fuentes,0.0,2011,fuentbr01,Merced College,CA,71.699196326062
Jeff Fulchino,0.0,2011,fulchje01,University of Connecticut,CT,71.699196326062
Charlie Furbush,0.0,2011,furbuch01,Louisiana State University,LA,71.699196326062
John Gaub,0.0,2011,gaubjo01,University of Minnesota,MN,71.699196326062
Cory Gearrin,0.0,2011,gearrco01,Mercer University,GA,71.699196326062
Conor Gillaspie,0.0,2011,gillaco01,Wichita State University,KS,71.699196326062
Graham Godfrey,0.0,2011,godfrgr01,College of Charleston,SC,71.699196326062
Brandon Gomes,0.0,2011,gomesbr01,Tulane University,LA,71.699196326062
Mike Gonzalez,0.0,2011,gonzami02,"San Jacinto College, North Campus",TX,71.699196326062
Jeff Gray,0.0,2011,grayje02,Missouri State University,MO,71.699196326062
Sean Green,0.0,2011,greense01,University of Louisville,KY,71.699196326062
Luke Gregerson,0.0,2011,gregelu01,St. Xavier University,IL,71.699196326062
Jason Grilli,0.0,2011,grillja01,Seton Hall University,NJ,71.699196326062
Brandon Guyer,0.0,2011,guyerbr01,University of Virginia,VA,71.699196326062
Erik Hamren,0.0,2011,hamreer01,University of the Pacific,CA,71.699196326062
Chris Hatcher,0.0,2011,hatchch02,University of North Carolina at Wilmington,NC,71.699196326062
Aaron Heilman,0.0,2011,heilmaa01,University of Notre Dame,IN,71.699196326062
Danny Herrera,0.0,2011,herreda01,University of New Mexico,NM,71.699196326062
Eric Hinske,0.0,2011,hinsker01,University of Arkansas,AR,71.699196326062
Jim Hoey,0.0,2011,hoeyja02,Rider University,NJ,71.699196326062
Greg Holland,0.0,2011,hollagr01,Western Carolina University,NC,71.699196326062
Tommy Hottovy,0.0,2011,hottoto01,Wichita State University,KS,70.3788748564868
J.P. Howell,0.0,2011,howeljp01,University of Texas at Austin,TX,70.3788748564868
Dusty Hughes,0.0,2011,hughedu01,Delta State University,MS,70.3788748564868
Jared Hughes,0.0,2011,hugheja02,California State University Long Beach,CA,70.3788748564868
Tommy Hunter,0.0,2011,hunteto02,University of Alabama,AL,70.3788748564868
Jason Isringhausen,0.0,2011,isrinja01,Lewis & Clark Community College,IL,70.3788748564868
Conor Jackson,0.0,2011,jacksco01,"University of California, Berkeley",CA,70.3788748564868
Adam Kennedy,0.0,2011,kennead01,California State University Northridge,CA,70.3788748564868
Ian Kennedy,0.0,2011,kenneia01,University of Southern California,CA,70.3788748564868
Cole Kimball,0.0,2011,kimbaco01,Centenary College,NJ,70.3788748564868
Michael Kohn,0.0,2011,kohnmi01,College of Charleston,SC,70.3788748564868
Erik Kratz,0.0,2011,kratzer01,Eastern Mennonite University,VA,70.3788748564868
Zach Kroenke,0.0,2011,kroenza01,University of Nebraska at Lincoln,NE,70.3788748564868
Chris Leroux,0.0,2011,lerouch01,Winthrop University,SC,70.3788748564868
Colby Lewis,0.0,2011,lewisco01,Bakersfield College,CA,70.3788748564868
Brad Lidge,0.0,2011,lidgebr01,University of Notre Dame,IN,70.3788748564868
Brad Lincoln,0.0,2011,lincobr01,University of Houston,TX,70.3788748564868
Josh Lindblom,0.0,2011,lindbjo01,Purdue University,IN,68.88633754305395
Matt Lindstrom,0.0,2011,lindsma01,Brigham Young University-Idaho,ID,68.88633754305395
Scott Linebrink,0.0,2011,linebsc01,Concordia University at Austin,TX,68.88633754305395
Jesse Litsch,0.0,2011,litscje01,South Florida Community College,FL,68.88633754305395
Boone Logan,0.0,2011,loganbo02,Temple College,TX,68.88633754305395
Javier Lopez,0.0,2011,lopezja02,University of Virginia,VA,68.88633754305395
Mark Lowe,0.0,2011,lowema01,University of Texas at Arlington,TX,68.88633754305395
Donny Lucy,0.0,2011,lucydo01,Stanford University,CA,68.88633754305395
Lance Lynn,0.0,2011,lynnla01,University of Mississippi,MS,68.88633754305395
Mike MacDougal,0.0,2011,macdomi01,Wake Forest University,NC,68.88633754305395
Paul Maholm,0.0,2011,maholpa01,Mississippi State University,MS,68.88633754305395
Scott Maine,0.0,2011,mainesc01,University of Miami,FL,68.88633754305395
Sean Marshall,0.0,2011,marshse01,Virginia Commonwealth University,VA,68.88633754305395
Nick Masset,0.0,2011,masseni01,St. Petersburg College,FL,68.88633754305395
Justin Masterson,0.0,2011,masteju01,San Diego State University,CA,68.88633754305395
Brian Matusz,0.0,2011,matusbr01,University of San Diego,CA,68.88633754305395
Michael McKenry,0.0,2011,mckenmi01,Middle Tennessee State University,TN,68.88633754305395
Evan Meek,0.0,2011,meekev01,Bellevue Community College,WA,68.88633754305395
Kam Mickolio,0.0,2011,mickoka01,College of Eastern Utah,UT,68.88633754305395
Wade Miley,0.0,2011,mileywa01,Southeastern Louisiana University,LA,68.88633754305395
Jim Miller,0.0,2011,milleji02,Mars Hill College,NC,68.88633754305395
Pat Misch,0.0,2011,mischpa01,Western Michigan University,MI,68.88633754305395
