state,year,per,war,av,per_spend_discrepancy,war_spend_discrepancy,av_spend_discrepancy,per_spend,war_spend,av_spend
IL,2014,12.2625,2.266666667,2.666666667,6849027,4407222.222,3025575.111,6849027,4407222.222,3025575.111
IN,2014,15.54166667,1.15,3.365079365,6767071.1,1780842.5,3023222.111,6767071.1,1780842.5,3023222.111
IA,2014,8.2,0,3.627906977,8332490.333,500000,3119350.455,8332490.333,0,3119350.455
KS,2014,11.96470588,2,4.818181818,2274967,4005968.75,4411444.333,2274967,4005968.75,4411444.333
KY,2014,13.04482759,1.25,3,5278480.05,739952.2857,2064777.053,5278480.05,739952.2857,2064777.053
LA,2014,13.525,1.433333333,3.494252874,3806849.556,3249593.333,3740488.864,3806849.556,3249593.333,3740488.864
ME,2014,0,0,0,0,750000,4900000,0,0,0
MD,2014,11.58333333,0,3.5,4993111.667,1312500,4892164.364,4993111.667,0,4892164.364
MA,2014,12.76,0,3.636363636,3758835.8,1086333.333,3681008,3758835.8,0,3681008
MI,2014,11.48,1.2,4.160493827,3528460.75,1741666.667,3929415.957,3528460.75,1741666.667,3929415.957
MN,2014,18.2,0,1.5,4250000,2525000,1751913.25,4250000,0,1751913.25
MS,2014,10,2,3.685185185,0,4558581.818,3847015.821,0,4558581.818,3847015.821
MO,2014,0,2.3,3.617647059,0,9455757.1,3013172.063,0,9455757.1,3013172.063
MT,2014,0,0,2.454545455,0,0,1872420.6,0,0,1872420.6
NE,2014,12.25,2.4,2.678571429,4626760.5,2368888.889,3885120.455,4626760.5,2368888.889,3885120.455
NV,2014,10.87142857,0.333333333,3.294117647,2667449.4,2778000,5476063.2,2667449.4,2778000,5476063.2
NH,2014,0,0.1,5,0,510000,2550000,0,510000,2550000
NJ,2014,9.85,2.025,2.952380952,0,2418655.143,3439134.875,0,2418655.143,3439134.875
NM,2014,9.45,0,3,1774700,502000,1699415.25,1774700,0,1699415.25
NY,2014,8.8,0.1,2.666666667,4744655.714,3466250,3318166.583,4744655.714,3466250,3318166.583
NC,2014,13.92608696,2.033333333,3.090909091,4648129,1446701.667,3136719.594,4648129,1446701.667,3136719.594
ND,2014,0,0,2.333333333,0,0,1626041.5,0,0,1626041.5
OH,2014,14.14285714,2.75,3.733333333,4538956.636,2638709.091,3045929.667,4538956.636,2638709.091,3045929.667
OK,2014,14.85,1.14,3.317460317,7888984.667,2907100,4371479.107,7888984.667,2907100,4371479.107
OR,2014,10,2.65,2.788461538,1832621.5,5157976.167,3208525.607,1832621.5,5157976.167,3208525.607
PA,2014,11.64615385,1.22,3.414285714,3194961.143,1330230,4150957.344,3194961.143,1330230,4150957.344
RI,2014,9.233333333,0,1,3396250,850000,1150000,3396250,0,1150000
SC,2014,12.9,2.057142857,3.557377049,4787911.667,1430646.154,3636859.969,4787911.667,1430646.154,3636859.969
SD,2014,12.7,0,4.5,48028,510000,2250000,48028,0,2250000
TN,2014,9.22,1.425,3.614285714,4889539.286,2689571,3790692.216,4889539.286,2689571,3790692.216
TX,2014,12.2,1.9625,3.294117647,5432444.357,4178187.949,3161628.386,5432444.357,4178187.949,3161628.386
UT,2014,13.3,0,3.476190476,4536094.75,8000000,3684307.957,4536094.75,0,3684307.957
VT,2014,0,0,0,0,0,0,0,0,0
VA,2014,12.5625,0.614285714,2.632352941,2613011.6,4944140,4145640.742,2613011.6,4944140,4145640.742
WA,2014,12.63846154,0.2,2.612903226,2044259.364,17000000,2774596,2044259.364,17000000,2774596
WV,2014,0,0,3.941176471,0,516133.3333,2579528.5,0,0,2579528.5
WI,2014,12.38,0.1,4.303030303,3443965.4,7500000,2322610.529,3443965.4,7500000,2322610.529
WY,2014,0,0,2.571428571,0,0,2673833,0,0,2673833
AL,2015,10.76,2.171428571,3.391752577,3055019.667,5333895.308,3653990.667,3055019.667,5333895.308,3653990.667
AK,2015,0,0,3.9,0,0,1735169.8,0,0,1735169.8
AZ,2015,11.55,2.7,3.48,5029120.7,6749128.154,3274944.25,5029120.7,6749128.154,3274944.25
AR,2015,13.1,5.2,2.380952381,6486486,1074833.333,2396956.125,6486486,1074833.333,2396956.125
CA,2015,12.91886792,1.366666667,3.016129032,5757303.791,4036657.722,3574231.736,5757303.791,4036657.722,3574231.736
CO,2015,11.375,0,2.608695652,3751939.667,9250000,7140903.1,3751939.667,0,7140903.1
CT,2015,14.6,1.6,1.684210526,3741741.667,1709500,1494207.778,3741741.667,1709500,1494207.778
DC,2015,14.01666667,0,0,8250678.5,0,0,8250678.5,0,0
DE,2015,0,0,4,0,0,1000000,0,0,1000000
FL,2015,13.40666667,1.872222222,3.479041916,5992263.545,4111943,3427649.556,5992263.545,4111943,3427649.556
GA,2015,14.2625,1.375,4.515625,9564744.143,5201820,6150139.946,9564744.143,5201820,6150139.946
HI,2015,0,2.3,0,0,520000,0,0,520000,0
ID,2015,0,0,4.047619048,0,2000000,2171518.4,0,0,2171518.4
IL,2015,14.33333333,2.4,2.206896552,6050715.167,3849557.5,3809850.4,6050715.167,3849557.5,3809850.4
IN,2015,14.71538462,3.033333333,3.571428571,6890424.3,2546058.556,3370239.6,6890424.3,2546058.556,3370239.6
IA,2015,10.56666667,0,3.208333333,261894,0,2652615.762,261894,0,2652615.762
KS,2015,9.8,0.1,3.571428571,2240718.357,3926425,3070000,2240718.357,3926425,3070000
KY,2015,12.02592593,1.733333333,4.05,5461065.909,1438633.2,2614050.95,5461065.909,1438633.2,2614050.95
LA,2015,14.59230769,0.9,3.606741573,5827955,3429401.455,4138199.5,5827955,3429401.455,4138199.5
ME,2015,0,0,1.333333333,0,1300000,2620000,0,0,2620000
MD,2015,10.24285714,0,2.545454545,5469396.25,1737500,7016419.1,5469396.25,0,7016419.1
MA,2015,13.92,0.2,4,5049543.4,1472666.667,4987210.417,5049543.4,1472666.667,4987210.417
MI,2015,10.91666667,0.1,4.083333333,4047486.063,1341500,4805682.977,4047486.063,1341500,4805682.977
MN,2015,15.4,0,1.692307692,245177,4675000,2152410.4,245177,0,2152410.4
MS,2015,0,2.14,3.921568627,0,3397766.667,3329902.394,0,3397766.667,3329902.394
MO,2015,0,2.95,3.59375,0,14291294.63,1988149.333,0,14291294.63,1988149.333
MT,2015,5.8,0,2.6,0,0,1727240,0,0,1727240
NE,2015,10.66666667,2.8,4.086956522,3708973,3896500,2979806.333,3708973,3896500,2979806.333
NV,2015,12.21428571,0.45,4.636363636,1760507.75,1755500,5970986.571,1760507.75,1755500,5970986.571
NH,2015,0,0,7,0,0,4450000,0,0,4450000
NJ,2015,11.8,1.325,2.434782609,0,1812467.857,2943140.8,0,1812467.857,2943140.8
NM,2015,12.9,0,3.5,1190469.5,900000,2826004,1190469.5,0,2826004
NY,2015,12.78888889,0.1,3.464285714,4911892.875,2788750,2550987.444,4911892.875,2788750,2550987.444
NC,2015,12.925,1.725,3.513513514,5602429.3,2804093.643,4531752.433,5602429.3,2804093.643,4531752.433
ND,2015,0,0,2.285714286,0,0,870000,0,0,870000
OH,2015,13.16666667,1.42,3.4,3979602.6,2793442.571,3727057.391,3979602.6,2793442.571,3727057.391
OK,2015,14.86,0.2,3.169230769,7179526,6269000,4789927.308,7179526,6269000,4789927.308
OR,2015,18.125,0.625,2.946428571,1347445,10889285.67,3128915.032,1347445,10889285.67,3128915.032
PA,2015,12.64,0.2,4.303030303,3393980.333,1237896.667,4550005.853,3393980.333,1237896.667,4550005.853
RI,2015,12.9,0,0.5,1796104.5,0,1200000,1796104.5,0,1200000
SC,2015,12.36666667,1.86,3.775,3173392.333,1999153.846,4148705.657,3173392.333,1999153.846,4148705.657
SD,2015,4.6,0,1.5,0,0,2750000,0,0,2750000
TN,2015,12.73076923,0.82,3.151515152,4919259.625,3575156.846,4027965.543,4919259.625,3575156.846,4027965.543
TX,2015,14.26842105,1.763157895,3.345679012,8381530.929,4008142.968,3275916.276,8381530.929,4008142.968,3275916.276
UT,2015,13.4,0,3.581395349,4759821,9000000,4558580.217,4759821,0,4558580.217
VT,2015,0,0,0,0,0,0,0,0,0
VA,2015,11.5125,1.133333333,2.8,2680053,3229528.571,4163749.107,2680053,3229528.571,4163749.107
WA,2015,12.19285714,0.1,3.583333333,5126750.889,9258550,2274197.476,5126750.889,9258550,2274197.476
WV,2015,26.2,0.4,3.5,981348,1396174.5,2652547.444,981348,1396174.5,2652547.444
WI,2015,12.19090909,0,3.818181818,9284984.286,16500000,3832149.75,9284984.286,0,3832149.75
WY,2015,0,0,2.428571429,0,0,3536334,0,0,3536334
AL,2016,11.575,2.52,3.75257732,3327793,4921620,3931162.935,3327793,4921620,3931162.935
AK,2016,0,0,3.090909091,0,0,3925119.667,0,0,3925119.667
AZ,2016,13.92727273,3.671428571,3.185185185,7937109.2,7750572.167,3971652.941,7937109.2,7750572.167,3971652.941
AR,2016,13.6,3.4,2.391304348,3726840,4583333.333,2733513.5,3726840,4583333.333,2733513.5
CA,2016,14.99795918,1.795454545,3.270491803,9107768.179,5813970.213,3912453.145,9107768.179,5813970.213,3912453.145
CO,2016,9.8,0,3.090909091,5440583.5,10750000,3777875.083,5440583.5,0,3777875.083
CT,2016,14.23333333,0.6,2.785714286,10827957.75,5950000,2818329,10827957.75,5950000,2818329
DC,2016,14.12,0,0,7401861.667,0,0,7401861.667,0,0
DE,2016,0,0,3.25,0,0,1450000,0,0,1450000
FL,2016,13.96666667,1.704761905,3.606451613,11594117.22,6549079.583,3989320.704,11594117.22,6549079.583,3989320.704
