k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
13,Enes Kanter\kanteen01,2015-16,23,OKC,NBA,24.0,82,1,1721,8.7,15.0,8.5,14.6,0.2,0.4,4.2,5.3,5.2,8.7,13.9,0.7,0.5,0.7,2.4,3.5,21.7,.576,.579,.476,.583,.797,.626
14,Coty Clarke\clarkco01,2015-16,23,BOS,NBA,23.9,3,0,6,12.0,24.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,36.0,.500,.000,1.000,.750,,.750
15,DeMarcus Cousins\couside01,2015-16,25,SAC,NBA,23.6,65,65,2246,9.6,21.3,8.5,18.0,1.1,3.4,7.6,10.6,2.5,9.4,12.0,3.4,1.6,1.5,4.0,3.8,28.0,.451,.473,.333,.477,.718,.538
16,Jonas Valanciunas\valanjo01,2015-16,23,TOR,NBA,22.6,60,59,1557,7.0,12.4,7.0,12.4,0.0,0.0,3.7,4.9,4.3,8.4,12.6,1.0,0.6,1.8,2.0,3.7,17.8,.565,.565,,.565,.761,.610
17,Michael Beasley\beaslmi01,2015-16,27,HOU,NBA,22.5,20,0,363,10.6,20.3,10.3,19.4,0.3,0.9,3.8,4.9,2.9,6.8,9.7,1.6,1.1,0.9,2.4,3.9,25.3,.522,.531,.333,.529,.776,.563
18,Karl-Anthony Towns\townska01,2015-16,20,MIN,NBA,22.5,82,82,2627,8.6,15.8,8.2,14.6,0.4,1.2,3.1,3.8,3.1,8.6,11.8,2.2,0.8,1.9,2.5,3.4,20.6,.542,.559,.341,.555,.811,.590
19,LaMarcus Aldridge\aldrila01,2015-16,30,SAS,NBA,22.4,74,74,2261,8.5,16.6,8.5,16.4,0.0,0.3,4.1,4.8,2.8,7.3,10.1,1.8,0.6,1.3,1.6,2.4,21.2,.513,.521,.000,.513,.858,.565
20,Carl Landry\landrca01,2015-16,32,PHI,NBA,22.4,36,12,569,8.8,15.8,8.4,15.0,0.4,0.8,4.2,5.8,3.1,6.1,9.2,2.0,0.8,0.6,1.4,4.4,22.2,.556,.561,.462,.568,.736,.605
21,Damian Lillard\lillada01,2015-16,25,POR,NBA,22.2,75,75,2676,8.3,19.8,5.2,11.6,3.1,8.2,5.6,6.2,0.6,3.5,4.1,6.9,0.9,0.4,3.3,2.2,25.3,.419,.450,.375,.497,.892,.560
22,Kyle Lowry\lowryky01,2015-16,29,TOR,NBA,22.2,77,77,2851,6.5,15.1,3.8,8.2,2.7,6.9,5.0,6.2,0.7,3.9,4.6,6.2,2.0,0.4,2.8,2.7,20.6,.427,.461,.388,.516,.811,.578
