Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3316,Marcus Cousin\cousima01,2010-11,24,UTA,NBA,7.8,4,0,18,2,3,2,3,0,0,0,0,0,3,3,0,0,1,1,1,4,.667,.667,,.667,,.667
3317,Aaron Gray\grayaa01,2013-14,29,TOT,NBA,7.8,37,6,355,27,61,27,60,0,1,11,20,42,69,111,22,10,8,31,64,65,.443,.450,.000,.443,.550,.466
3318,Wesley Iwundu\iwundwe01,2017-18,23,ORL,NBA,7.8,62,12,1020,93,218,84,172,9,46,34,47,36,101,137,57,33,12,30,81,229,.427,.488,.196,.447,.723,.480
3319,Antawn Jamison\jamisan01,2013-14,37,LAC,NBA,7.8,22,0,248,29,92,21,51,8,41,18,25,9,46,55,7,9,3,7,29,84,.315,.412,.195,.359,.720,.408
3320,Perry Jones\jonespe01,2012-13,21,OKC,NBA,7.8,38,1,280,39,99,39,97,0,2,10,15,12,50,62,10,5,6,15,23,88,.394,.402,.000,.394,.667,.417
3321,Ryan Kelly\kellyry01,2016-17,25,ATL,NBA,7.8,16,0,110,8,28,4,18,4,10,5,6,1,17,18,8,4,5,4,5,25,.286,.222,.400,.357,.833,.408
3322,Kendall Marshall\marshke01,2012-13,21,PHO,NBA,7.8,48,3,702,56,151,33,78,23,73,8,14,4,38,42,143,22,4,57,48,143,.371,.423,.315,.447,.571,.455
3323,Kostas Papanikolaou\papanko01,2014-15,24,HOU,NBA,7.8,43,1,795,69,197,38,91,31,106,13,18,39,79,118,85,29,13,55,71,182,.350,.418,.292,.429,.722,.444
3324,Alex Poythress\poythal01,2017-18,24,IND,NBA,7.8,25,0,104,11,26,7,15,4,11,0,0,7,10,17,2,3,1,2,16,26,.423,.467,.364,.500,,.500
3325,John Salmons\salmojo01,2013-14,34,TOT,NBA,7.8,78,8,1726,150,413,87,250,63,163,40,52,20,143,163,147,47,19,54,124,403,.363,.348,.387,.439,.769,.462
3326,Chris Singleton\singlch01,2012-13,23,WAS,NBA,7.8,57,11,924,92,241,85,205,7,36,40,70,51,133,184,37,38,24,45,124,231,.382,.415,.194,.396,.571,.425
3327,Jerry Smith\smithje01,2011-12,24,NJN,NBA,7.8,5,0,46,3,14,2,8,1,6,0,0,2,5,7,4,5,0,0,5,7,.214,.250,.167,.250,,.250
3328,Nolan Smith\smithno01,2011-12,23,POR,NBA,7.8,44,4,541,67,180,54,135,13,45,20,28,17,39,56,62,18,3,42,55,167,.372,.400,.289,.408,.714,.434
3329,Greg Stiemsma\stiemgr01,2014-15,29,TOR,NBA,7.8,17,0,66,6,8,6,8,0,0,2,4,9,6,15,3,2,0,7,15,14,.750,.750,,.750,.500,.717
3330,Garrett Temple\templga01,2013-14,27,WAS,NBA,7.8,75,0,638,51,141,45,112,6,29,30,43,21,47,68,72,35,11,42,72,138,.362,.402,.207,.383,.698,.431
3331,Rashad Vaughn\vaughra01,2016-17,20,MIL,NBA,7.8,41,2,458,57,156,31,75,26,81,2,5,4,45,49,23,19,10,14,32,142,.365,.413,.321,.449,.400,.449
3332,Andris Biedrins\biedran01,2012-13,26,GSW,NBA,7.7,53,9,495,10,21,10,21,0,0,4,13,34,119,153,14,15,42,14,101,24,.476,.476,,.476,.308,.449
3333,DeJuan Blair\blairde01,2014-15,25,WAS,NBA,7.7,29,0,180,26,57,26,57,0,0,4,6,16,40,56,3,7,1,13,41,56,.456,.456,,.456,.667,.469
3334,Bruno Caboclo\cabocbr01,2017-18,22,TOT,NBA,7.7,12,0,107,9,31,6,14,3,17,5,6,7,15,22,4,3,4,4,8,26,.290,.429,.176,.339,.833,.386
3335,Nick Collison\collini01,2015-16,35,OKC,NBA,7.7,59,4,699,50,109,50,107,0,2,23,33,68,103,171,52,15,16,50,107,123,.459,.467,.000,.459,.697,.498
3336,Allen Crabbe\crabbal01,2013-14,21,POR,NBA,7.7,15,0,100,12,33,6,19,6,14,3,4,1,8,9,6,2,1,3,10,33,.364,.316,.429,.455,.750,.475
3337,Dorian Finney-Smith\finnedo01,2016-17,23,DAL,NBA,7.7,81,35,1642,124,333,68,142,56,191,46,61,55,167,222,67,52,25,45,125,350,.372,.479,.293,.456,.754,.486
3338,Derek Fisher\fishede01,2012-13,38,TOT,NBA,7.7,33,9,575,55,161,25,81,30,80,35,38,2,35,37,47,19,3,30,55,175,.342,.309,.375,.435,.921,.492
3339,Daniel Gibson\gibsoda01,2012-13,26,CLE,NBA,7.7,46,3,919,84,247,28,84,56,163,26,37,5,55,60,82,30,4,31,89,250,.340,.333,.344,.453,.703,.475
3340,Drew Gooden\goodedr01,2012-13,31,MIL,NBA,7.7,16,0,151,20,61,19,56,1,5,11,16,13,18,31,6,5,6,9,21,52,.328,.339,.200,.336,.688,.382
3341,Joey Graham\grahajo01,2010-11,28,CLE,NBA,7.7,39,8,586,82,179,73,149,9,30,29,36,8,76,84,18,6,7,28,73,202,.458,.490,.300,.483,.806,.518
3342,R.J. Hunter\hunterj01,2015-16,22,BOS,NBA,7.7,36,0,315,36,98,17,35,19,63,6,7,2,35,37,13,14,4,11,29,97,.367,.486,.302,.464,.857,.480
3343,Jarrett Jack\jackja01,2016-17,33,NOP,NBA,7.7,2,0,33,2,3,2,2,0,1,2,2,0,0,0,5,2,0,3,4,6,.667,1.000,.000,.667,1.000,.773
3344,O.J. Mayo\mayooj01,2015-16,28,MIL,NBA,7.7,41,24,1090,119,321,67,159,52,162,31,40,13,92,105,118,48,8,72,126,321,.371,.421,.321,.452,.775,.474
3345,Dominic McGuire\mcguido01,2012-13,27,TOT,NBA,7.7,26,10,387,24,56,24,56,0,0,3,10,19,59,78,20,13,11,12,39,51,.429,.429,,.429,.300,.422
3346,Ben McLemore\mclembe01,2013-14,20,SAC,NBA,7.7,82,55,2187,255,679,160,382,95,297,115,143,53,182,235,82,45,18,96,201,720,.376,.419,.320,.446,.804,.485
3347,Chandler Parsons\parsoch01,2016-17,28,MEM,NBA,7.7,34,34,675,75,222,50,129,25,93,35,43,6,78,84,55,20,5,24,52,210,.338,.388,.269,.394,.814,.436
3348,Adreian Payne\paynead01,2014-15,23,TOT,NBA,7.7,32,22,739,91,220,90,211,1,9,30,46,48,114,162,30,19,9,44,88,213,.414,.427,.111,.416,.652,.443
3349,Shavlik Randolph\randosh01,2013-14,30,PHO,NBA,7.7,14,0,95,7,14,7,14,0,0,6,11,7,18,25,1,3,1,5,15,20,.500,.500,,.500,.545,.531
3350,Kobi Simmons\simmoko01,2017-18,20,MEM,NBA,7.7,32,12,643,80,189,69,150,11,39,25,25,14,36,50,68,18,5,44,61,196,.423,.460,.282,.452,1.000,.490
3351,Earl Watson\watsoea01,2012-13,33,UTA,NBA,7.7,48,4,829,37,120,32,92,5,28,17,25,23,64,87,190,40,8,69,94,96,.308,.348,.179,.329,.680,.366
3352,DeAndre' Bembry\bembrde01,2017-18,23,ATL,NBA,7.6,26,3,455,53,128,42,98,11,30,19,33,8,64,72,49,21,12,47,38,136,.414,.429,.367,.457,.576,.477
3353,Dorian Finney-Smith\finnedo01,2017-18,24,DAL,NBA,7.6,21,13,448,46,121,26,54,20,67,11,15,22,53,75,26,10,4,21,43,123,.380,.481,.299,.463,.733,.482
3354,Randy Foye\foyera01,2015-16,32,TOT,NBA,7.6,81,8,1642,169,482,94,232,75,250,61,74,24,132,156,161,39,29,86,131,474,.351,.405,.300,.428,.824,.461
3355,Elias Harris\harriel01,2013-14,24,LAL,NBA,7.6,2,0,11,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,.000,.000,,.000,,.000
3356,Xavier Henry\henryxa01,2012-13,21,NOH,NBA,7.6,50,2,625,66,161,62,150,4,11,58,92,21,69,90,13,16,5,31,72,194,.410,.413,.364,.422,.630,.481
3357,Solomon Hill\hillso01,2013-14,22,IND,NBA,7.6,28,0,226,17,40,10,17,7,23,6,7,9,32,41,12,5,2,13,19,47,.425,.588,.304,.513,.857,.545
3358,Justin Holiday\holidju01,2012-13,23,PHI,NBA,7.6,9,0,142,16,48,12,32,4,16,6,8,0,14,14,15,3,6,9,7,42,.333,.375,.250,.375,.750,.408
